Espaço restante;Prioridade acumulada;Tempo de Execução
0;897;0,000143
5;1000;0,000120
1;400;0,000178
0;700;0,000147
4;599;0,000143
3;594;0,000149
4;800;0,000118
2;485;0,000113
5;500;0,000110
2;2099;0,000116
8;900;0,000110
4;1600;0,000164
1;490;0,000122
1;599;0,000111
0;482;0,000110
9;500;0,000123
6;2600;0,000153
7;600;0,000111
4;3100;0,000116
7;500;0,000111
1;1500;0,000111
3;499;0,000131
6;400;0,000110
3;597;0,000204
0;499;0,000109
4;3100;0,000113
2;1299;0,000109
4;1895;0,000171
7;500;0,000110
3;1300;0,000111
1;498;0,000112
1;781;0,000110
5;600;0,000157
1;700;0,000151
7;400;0,000112
7;498;0,000112
5;400;0,000154
8;500;0,000119
3;2400;0,000219
5;300;0,000146
1;499;0,000135
2;400;0,000114
5;499;0,000110
6;700;0,000321
4;1897;0,000110
0;3565;0,000191
0;599;0,000119
30;200;0,000128
197;100;0,000109
52;100;0,000112
21;100;0,000111
54;100;0,000108
26;200;0,000111
72;200;0,000111
112;100;0,000121
98;100;0,000113
3;193;0,000130
1;200;0,000111
98;100;0,000168
4;100;0,000146
73;100;0,000111
9;200;0,000111
117;100;0,000110
13;200;0,000119
157;100;0,000117
101;100;0,000110
70;100;0,000109
26;200;0,000110
156;100;0,000134
92;100;0,000113
169;100;0,000118
107;100;0,000111
39;100;0,000111
30;200;0,000113
37;199;0,000110
132;100;0,000117
133;100;0,000111
0;155;0,000137
7;196;0,000112
128;100;0,000112
7;200;0,000349
146;100;0,000114
5;197;0,000155
156;100;0,000160
62;200;0,000120
3;198;0,000163
99;100;0,000128
56;100;0,000112
4;200;0,000161
14;200;0,000148
87;100;0,000113
51;100;0,000152
12;200;0,000113
3;100;0,000112
4;200;0,000109
19;200;0,000113
72;200;0,000110
104;100;0,000153
136;100;0,000110
196;100;0,000109
1;200;0,000110
18;199;0,000154
69;100;0,000113
22;100;0,000113
14;200;0,000124
172;100;0,000116
41;100;0,000113
53;100;0,000109
36;100;0,000111
19;199;0,000159
34;200;0,000161
58;100;0,000111
34;100;0,000110
0;196;0,000118
131;100;0,000143
84;200;0,000115
50;100;0,000122
178;100;0,000111
41;100;0,000130
74;100;0,000130
138;100;0,000160
170;100;0,000152
67;100;0,000113
0;200;0,000166
50;200;0,000118
16;200;0,000114
60;200;0,000143
187;100;0,000112
189;100;0,000111
21;100;0,000113
120;100;0,000111
2;196;0,000112
8;200;0,000122
1;199;0,000112
107;100;0,000169
152;100;0,000112
9;200;0,000160
50;100;0,000160
120;100;0,000111
167;100;0,000154
59;100;0,000158
76;100;0,000153
58;100;0,000111
172;100;0,000129
39;100;0,000112
10;200;0,000123
82;100;0,000111
0;898;0,001530
2;900;0,001346
0;799;0,001295
2;600;0,001869
2;500;0,001598
0;800;0,001283
7;500;0,002116
0;500;0,001503
5;300;0,001493
0;500;0,001346
5;300;0,001657
5;500;0,001262
0;1300;0,001579
5;300;0,001267
2;600;0,001905
4;1200;0,001776
3;500;0,001261
1;500;0,001303
2;800;0,001353
0;800;0,001270
8;4100;0,001273
1;800;0,001252
2;1000;0,001269
2;600;0,001257
0;600;0,001291
0;600;0,001599
2;500;0,001275
6;500;0,001269
4;700;0,001275
0;500;0,001549
3;400;0,001266
1;600;0,001368
0;800;0,001255
9;500;0,001836
0;400;0,001357
0;599;0,001383
6;700;0,002140
8;600;0,001411
0;800;0,001282
0;600;0,001286
2;1500;0,001272
2;600;0,001284
8;300;0,001584
0;600;0,001261
4;800;0,001272
3;700;0,001251
6;700;0,001393
8;600;0,001266
4;600;0,001276
0;800;0,001289
0;1300;0,001253
2;1900;0,001336
1;800;0,001315
2;500;0,001293
0;1500;0,001275
7;800;0,001277
0;600;0,001308
0;999;0,001460
8;600;0,001289
4;600;0,001300
5;1400;0,001342
8;500;0,001269
5;300;0,001303
3;800;0,001241
0;900;0,001290
6;1300;0,002247
2;600;0,001289
6;700;0,002007
0;1000;0,002224
5;300;0,001762
0;500;0,001251
5;300;0,001580
5;500;0,001281
2;500;0,001293
3;600;0,001268
7;500;0,001298
0;3599;0,001479
1;599;0,001255
8;400;0,001236
1;400;0,001282
9;500;0,001269
4;500;0,001275
7;500;0,001383
5;600;0,001294
7;2900;0,001329
4;400;0,001551
8;600;0,001345
7;1600;0,001267
4;700;0,001273
0;500;0,001252
1;500;0,001248
1;500;0,001267
0;500;0,001272
1;500;0,001272
0;500;0,001334
0;1097;0,001272
5;500;0,001280
1;700;0,001285
0;500;0,001313
5;500;0,001434
38;100;0,001399
9;200;0,001278
13;200;0,001270
189;100;0,001290
3;200;0,001316
199;100;0,001417
35;100;0,001372
18;200;0,001513
191;100;0,001613
111;100;0,001296
19;100;0,001304
127;100;0,001322
56;100;0,001348
11;200;0,001516
179;100;0,002005
45;100;0,001388
29;200;0,001606
103;100;0,001898
48;200;0,001330
12;200;0,001290
7;200;0,001307
9;100;0,001299
11;200;0,001397
4;100;0,001271
36;200;0,001294
60;200;0,001267
16;100;0,001313
32;200;0,001273
48;200;0,001294
68;200;0,001316
42;200;0,002355
32;200;0,001586
2;200;0,001282
27;100;0,001820
6;200;0,001485
107;100;0,001295
45;100;0,001282
12;200;0,001298
78;100;0,001288
185;100;0,001296
67;100;0,001295
5;200;0,001318
184;100;0,001373
2;100;0,001321
32;100;0,001432
57;100;0,002144
158;100;0,001624
98;100;0,001708
119;100;0,001278
92;100;0,001365
26;100;0,001310
84;200;0,001453
10;200;0,002022
111;100;0,001265
11;100;0,001280
11;200;0,001537
1;199;0,001419
72;200;0,001295
199;100;0,001334
6;200;0,001395
25;200;0,001602
195;100;0,001752
115;100;0,001280
14;200;0,001298
100;100;0,001298
34;100;0,001271
2;200;0,001640
152;100;0,001360
7;200;0,001446
54;100;0,001263
182;100;0,001337
2;200;0,001301
10;200;0,001381
139;100;0,001294
50;200;0,001280
20;200;0,001550
83;100;0,001300
170;100;0,001311
44;200;0,001407
82;100;0,001768
184;100;0,001336
83;100;0,001567
69;100;0,001325
125;100;0,001542
130;100;0,001315
128;100;0,001473
1;200;0,001340
184;100;0,001281
6;200;0,001279
182;100;0,001275
44;100;0,001288
66;100;0,001300
66;100;0,001354
29;100;0,001759
78;200;0,001300
159;100;0,001333
198;100;0,001326
26;100;0,001458
33;100;0,001266
16;100;0,001303
