Espaço restante;Prioridade acumulada;Tempo de Execução
0;4800;0,000136
5;4275;0,000168
8;4018;0,000130
5;4410;0,000197
0;4850;0,000129
0;4900;0,000127
8;4100;0,000144
5;4185;0,000127
0;4450;0,000182
0;4550;0,000166
0;5000;0,000169
0;4450;0,000164
0;4400;0,000186
0;4850;0,000131
5;3600;0,000180
0;4350;0,000143
6;3724;0,000136
0;4850;0,000128
0;4750;0,000177
0;4750;0,000152
5;4230;0,000172
0;4350;0,000174
8;3772;0,000180
0;4850;0,000128
5;4185;0,000129
0;4850;0,000169
5;4230;0,000129
5;4500;0,000172
0;4100;0,000177
0;4350;0,000303
5;4320;0,000167
0;4550;0,000162
5;4005;0,000129
5;4320;0,000170
0;4950;0,000127
0;4350;0,000127
0;4700;0,000164
0;4450;0,000181
5;4365;0,000127
0;3300;0,000127
0;4800;0,000204
0;4750;0,000169
5;4140;0,000227
5;3915;0,000164
0;4600;0,000142
0;4600;0,000170
0;4100;0,000134
0;4400;0,000125
0;4300;0,000171
0;4300;0,000129
5;4050;0,000128
0;4350;0,000131
0;3800;0,000209
0;4100;0,000138
5;4500;0,000131
5;4455;0,000148
0;4750;0,000182
5;4365;0,000176
5;4275;0,000176
0;4550;0,000183
0;4450;0,000130
5;3960;0,000138
0;4850;0,000139
0;4900;0,000131
0;4700;0,000141
0;4750;0,000129
0;4750;0,000131
0;4700;0,000137
5;3645;0,000137
0;4800;0,000127
0;4050;0,000155
0;4800;0,000131
0;4900;0,000131
0;4950;0,000186
0;4600;0,000169
5;4230;0,000127
8;4100;0,000126
5;4185;0,000128
8;3936;0,000127
0;4550;0,000126
0;4600;0,000167
0;4650;0,000169
0;4300;0,000143
0;4850;0,000128
5;4365;0,000186
0;4600;0,000130
90;200;0,000258
94;196;0,000125
100;188;0,000142
90;198;0,000167
96;200;0,000124
96;198;0,000165
92;200;0,000123
100;190;0,000140
70;198;0,000130
80;198;0,000122
96;194;0,000173
58;200;0,000135
98;188;0,000156
76;196;0,000127
86;200;0,000127
92;200;0,000176
100;200;0,000129
80;200;0,000123
94;200;0,000197
100;194;0,000125
96;200;0,000126
90;194;0,000321
90;198;0,000123
84;200;0,000124
100;198;0,000131
98;198;0,000121
98;200;0,000123
84;196;0,000122
96;200;0,000166
92;196;0,000170
76;198;0,000165
98;192;0,000136
90;192;0,000175
94;196;0,000168
98;192;0,000169
80;194;0,000170
84;200;0,000168
84;200;0,000125
98;196;0,000126
78;196;0,000132
94;198;0,000164
80;198;0,000127
86;194;0,000162
94;198;0,000127
82;200;0,000145
80;200;0,000131
94;196;0,000139
88;198;0,000126
86;200;0,000124
98;200;0,000123
74;200;0,000136
96;194;0,000123
100;194;0,000124
94;196;0,000179
84;198;0,000187
84;198;0,000122
100;194;0,000361
82;194;0,000125
100;192;0,000128
74;200;0,000170
96;192;0,000121
74;200;0,000125
86;188;0,000123
86;196;0,000197
64;200;0,000151
80;196;0,000126
94;192;0,000150
98;200;0,000123
84;200;0,000133
80;200;0,000170
72;198;0,000121
88;200;0,000191
92;198;0,000124
80;200;0,000126
88;198;0,000171
94;200;0,000169
74;196;0,000148
88;192;0,000125
98;200;0,000138
70;200;0,000163
100;200;0,000125
76;196;0,000128
90;194;0,000123
98;200;0,000168
100;192;0,000123
100;192;0,000123
100;190;0,000150
96;196;0,000173
84;196;0,000145
96;196;0,000168
90;194;0,000125
98;188;0,000126
88;200;0,000146
98;190;0,000161
90;196;0,000186
98;200;0,000134
100;196;0,000122
90;200;0,000125
92;200;0,000165
86;200;0,000204
0;4850;0,001689
0;4900;0,002073
0;4900;0,002067
0;4950;0,001904
0;4950;0,002419
0;5000;0,001666
0;4900;0,002374
0;4950;0,001638
0;5000;0,002427
0;4900;0,002343
0;5000;0,001946
0;5000;0,001772
0;4800;0,001737
0;4750;0,001996
0;5000;0,001648
0;4900;0,001633
0;5000;0,001734
0;5000;0,001662
0;4800;0,001611
0;5000;0,002431
0;5000;0,001604
0;5000;0,001644
0;5000;0,002178
0;4900;0,002357
0;5000;0,002465
0;5000;0,001661
0;5000;0,001646
0;5000;0,001636
0;4850;0,001633
0;5000;0,001635
0;4900;0,001666
0;4850;0,001597
0;5000;0,001625
0;4900;0,001648
0;5000;0,001626
0;4950;0,001666
0;4850;0,001750
0;4800;0,002080
0;4900;0,002030
0;4900;0,001656
0;4850;0,001662
0;5000;0,001740
0;5000;0,001625
0;5000;0,001609
0;5000;0,001640
0;4950;0,001677
0;5000;0,001612
0;5000;0,001621
0;5000;0,001668
0;5000;0,001631
0;5000;0,001623
0;5000;0,001724
0;4850;0,001699
0;5000;0,001632
0;5000;0,001656
0;4900;0,001619
0;5000;0,001604
0;4900;0,001615
0;5000;0,001628
0;4800;0,001650
0;4700;0,001623
0;4900;0,001653
0;4700;0,001663
0;4950;0,001625
0;4950;0,001654
0;5000;0,001719
0;4800;0,001650
0;5000;0,001714
0;5000;0,002208
0;4900;0,001609
0;5000;0,001721
0;4850;0,002607
0;5000;0,002452
0;5000;0,001703
0;4800;0,001623
0;5000;0,001684
0;4950;0,001615
0;4950;0,001735
0;4900;0,001652
0;4950;0,001630
0;5000;0,001609
0;4800;0,002578
0;4900;0,001642
0;5000;0,001646
0;4800;0,001620
0;4900;0,001613
0;5000;0,001628
0;5000;0,001656
0;4850;0,001672
0;4900;0,001648
0;5000;0,001601
0;5000;0,001605
0;4950;0,001611
0;5000;0,001669
0;4850;0,001641
0;4850;0,001632
0;4850;0,001617
0;4850;0,001629
0;5000;0,001677
0;5000;0,001667
100;200;0,001651
100;200;0,002083
100;198;0,001723
92;200;0,001649
98;200;0,001606
100;200;0,001671
100;200;0,002300
100;200;0,001695
98;198;0,001839
92;200;0,001640
98;200;0,001622
100;200;0,002080
96;198;0,002132
96;200;0,001917
100;200;0,001687
92;200;0,002087
98;200;0,002082
94;200;0,001624
100;196;0,002012
98;198;0,001624
96;200;0,001661
98;198;0,001598
98;200;0,001643
100;198;0,001618
100;200;0,001757
100;200;0,001598
98;200;0,001659
100;200;0,001626
96;200;0,001653
92;200;0,001640
100;198;0,002018
98;198;0,002410
100;200;0,001694
100;200;0,001690
98;198;0,001677
100;200;0,001644
100;198;0,001680
100;200;0,001657
94;200;0,001610
98;200;0,001668
98;200;0,001640
100;200;0,001621
98;200;0,001646
96;200;0,002396
96;198;0,002457
100;200;0,001661
100;200;0,001750
98;200;0,002167
100;198;0,001679
100;200;0,003770
96;200;0,001675
96;198;0,001717
96;200;0,001948
100;200;0,001728
100;200;0,001643
100;200;0,002051
96;200;0,001677
98;200;0,001610
96;200;0,002121
100;200;0,001921
100;198;0,001659
96;198;0,002111
96;198;0,001647
98;200;0,001661
100;200;0,001647
98;200;0,002264
94;200;0,001748
98;200;0,002524
94;200;0,001661
94;200;0,001678
96;200;0,001666
100;200;0,001628
96;200;0,001698
100;200;0,001628
100;200;0,001628
96;198;0,001698
98;198;0,001692
96;200;0,001669
98;200;0,001677
100;198;0,001779
100;200;0,001991
98;200;0,001770
100;198;0,001742
92;200;0,001969
100;198;0,001615
96;200;0,002190
98;200;0,001819
100;198;0,001639
98;200;0,001654
96;200;0,001667
96;200;0,001722
100;198;0,001642
100;200;0,001629
100;200;0,001780
96;200;0,001629
100;198;0,001667
100;196;0,001638
100;200;0,001662
100;200;0,001623
100;200;0,001669
