Espaço restante;Prioridade acumulada;Tempo de Execução
0;4022;0,032401
0;4412;0,052670
0;4850;0,015805
0;4900;0,013179
0;4144;0,062803
2;4188;0,036040
0;4450;0,014010
0;4550;0,015817
0;5000;0,014049
0;4450;0,014893
0;4400;0,014000
0;4850;0,014741
1;3622;0,021215
0;4350;0,014259
0;3766;0,608274
0;4850;0,013733
0;4750;0,016085
0;4750;0,014883
0;4240;0,038507
0;4350;0,014374
0;3820;0,037402
0;4850;0,216789
0;4220;0,053511
0;4850;0,015231
0;4250;0,052972
5;4500;0,036608
0;4100;0,015061
0;4350;0,014141
5;4320;0,035360
0;4550;0,014046
0;4020;0,032119
0;4332;0,099991
0;4950;0,016176
0;4350;0,015609
0;4700;0,015018
0;4450;0,014187
0;4375;0,049235
0;3300;0,014175
0;4800;0,014192
0;4750;0,014758
1;4148;0,030697
0;3939;0,024749
0;4600;0,014540
0;4600;0,014300
0;4100;0,217613
0;4400;0,015377
0;4300;0,015057
0;4300;0,014577
0;4060;0,049989
0;4350;0,013226
0;3800;0,015358
0;4100;0,211900
0;4522;0,040785
5;4455;0,078968
0;4750;0,014282
2;4368;0,044791
0;4316;0,238009
0;4550;0,017416
0;4450;0,015192
0;3981;0,036655
0;4850;0,015763
0;4900;0,015385
0;4700;0,015635
0;4750;0,015473
0;4750;0,015542
0;4700;0,015197
0;3672;0,030082
0;4800;0,015166
0;4050;0,016319
0;4800;0,016192
0;4900;0,015709
0;4950;0,015909
0;4600;0,015624
0;4258;0,070473
0;4114;0,047975
2;4192;0,091777
0;3982;0,016055
0;4550;0,017144
0;4600;0,014405
0;4650;0,014533
0;4300;0,014975
0;4850;0,015414
2;4368;0,036222
0;4600;0,014028
90;200;0,718966
38;200;0,680215
68;200;0,875062
54;200;0,769346
96;200;0,387195
26;200;0,751951
92;200;0,572279
48;200;0,601954
36;200;0,457429
70;200;0,546960
80;200;0,749050
58;200;0,372855
24;196;0,405150
56;200;0,661440
86;200;0,221906
92;200;0,654186
100;200;0,362983
80;200;0,592979
94;200;0,540876
48;196;0,352051
96;200;1,039036
56;200;0,762679
12;200;0,927441
84;200;0,558929
56;200;0,907111
56;200;0,770786
98;200;0,580299
37;199;0,694003
96;200;0,316748
62;200;0,708586
52;200;0,553488
78;200;0,495236
60;200;2,889274
80;200;0,963017
38;200;0,944284
22;200;0,868168
84;200;0,770160
84;200;0,835597
80;200;0,725054
58;200;0,793053
58;200;0,533816
34;200;0,396659
36;200;0,984879
84;200;0,810020
82;200;0,579210
80;200;0,840685
82;200;0,992120
60;200;0,745536
86;200;0,575873
98;200;0,706105
74;200;0,499619
48;200;1,083482
24;200;0,593268
44;200;1,112127
41;199;0,427281
2;200;0,305994
82;200;0,697493
18;200;0,444482
80;200;0,993046
74;200;0,500325
24;200;0,761371
74;200;0,724720
19;199;0,971742
34;200;0,841232
64;200;0,438031
42;200;0,745607
50;200;0,765793
98;200;0,917833
84;200;0,352096
80;200;1,000671
22;200;0,397157
88;200;0,526712
78;200;0,454341
80;200;0,527143
80;200;0,689867
94;200;0,518683
52;200;0,534288
66;200;0,607108
98;200;0,554898
70;200;0,778168
100;200;0,563713
8;197;0,320923
76;198;0,445936
98;200;0,508543
80;200;0,689975
76;200;1,061145
0;200;0,690323
8;198;0,648141
22;200;0,784954
72;200;0,875724
52;200;0,564939
40;198;0,583563
88;200;0,948893
24;200;0,439219
26;200;0,608461
98;200;0,781193
78;200;0,786862
90;200;0,926338
92;200;0,528674
86;200;0,341694
0;4850;0,125182
0;4900;0,119405
0;4900;0,122433
0;4950;7,428388
0;4950;0,187112
0;5000;0,178377
0;4900;0,194173
0;4950;8,183889
0;5000;0,194741
0;4900;0,220683
0;5000;0,205139
0;5000;0,185997
0;4800;0,182266
0;4750;7,308456
0;5000;0,194596
0;4900;0,174345
0;5000;0,171571
0;5000;0,189132
0;4800;0,177517
0;5000;0,184882
0;5000;7,316827
0;5000;0,182227
0;5000;0,195167
0;4900;0,190031
0;5000;0,173568
0;5000;164,595777
0;5000;0,162980
0;5000;159,658671
0;4850;0,172429
0;5000;0,172446
0;4900;6,927905
0;4850;161,996643
0;5000;0,168478
0;4900;0,169864
0;5000;0,165396
0;4950;0,167961
0;4850;0,182394
0;4800;6,912232
0;4900;0,173372
0;4900;0,171925
0;4850;6,962501
0;5000;0,180165
0;5000;0,181797
0;5000;0,174176
0;5000;6,823863
0;4950;0,173417
0;5000;0,165114
0;5000;0,170257
0;5000;0,173787
0;5000;160,509514
0;5000;0,176867
0;5000;0,174005
0;4850;6,996632
0;5000;6,853380
0;5000;0,169693
0;4900;0,171765
0;5000;0,175188
0;4900;0,174716
0;5000;0,171598
0;4800;0,171772
0;4700;0,171586
0;4900;6,843099
0;4700;0,170306
0;4950;161,305606
0;4950;6,736966
0;5000;0,165831
0;4800;0,202655
0;5000;0,186622
0;5000;0,176575
0;4900;0,172455
0;5000;0,182980
0;4850;0,173445
0;5000;0,185842
0;5000;0,166071
0;4800;0,165615
0;5000;0,175286
0;4950;0,167262
0;4950;0,176495
0;4900;6,774205
0;4950;0,169756
0;5000;6,972735
0;4800;163,001522
0;4900;0,180306
0;5000;6,858072
0;4800;6,825304
0;4900;6,779549
0;5000;0,171402
0;5000;6,858444
0;4850;0,172908
0;4900;0,172032
0;5000;0,177197
0;5000;162,543738
0;4950;6,906689
0;5000;0,169419
0;4850;0,171638
0;4850;0,172044
0;4850;0,171091
0;4850;0,176107
0;5000;0,175106
0;5000;6,827994
100;200;4976,814395
100;200;4399,281585
88;200;4666,224527
92;200;4618,941026
98;200;3641,295294
100;200;5070,257004
100;200;4703,890119
100;200;4942,164918
82;200;5004,398098
92;200;4713,629411
98;200;4033,204879
100;200;6249,830942
90;200;5218,311423
96;200;4823,128383
100;200;4755,662158
92;200;4227,307324
98;200;5052,231394
94;200;5020,055163
90;200;6114,003137
90;200;4004,837250
96;200;3766,063412
92;200;3595,020964
98;200;4188,123189
90;200;4679,905017
100;200;4095,613348
100;200;3810,745576
98;200;4328,286477
100;200;3754,323031
96;200;4778,869973
92;200;4473,692978
92;200;4462,076650
86;200;5388,292898
100;200;3927,320237
100;200;5251,699052
90;200;3675,559461
100;200;4437,918776
76;200;5343,943141
100;200;5708,270896
94;200;4465,079731
98;200;3780,487896
98;200;4174,338099
100;200;5349,092826
98;200;4769,170966
96;200;4838,026436
86;200;5070,478068
100;200;4660,899353
100;200;4728,797678
98;200;4781,485074
82;200;4835,548497
100;200;3740,050158
96;200;5392,789678
84;200;5174,884760
96;200;4892,253044
100;200;4824,668925
100;200;4522,236734
100;200;4358,844088
96;200;5006,450969
98;200;4738,930299
96;200;4928,788881
100;200;4507,651436
84;200;5330,362462
84;200;4850,547183
84;200;4607,189230
98;200;4545,766367
100;200;4950,088270
98;200;5021,741636
94;200;6220,380075
98;200;4690,065494
94;200;5144,794397
94;200;3620,051676
96;200;4527,286128
100;200;5519,345504
96;200;3651,477266
100;200;4887,901890
100;200;4330,290369
84;200;4831,964648
92;200;5160,959477
96;200;5223,254880
98;200;4297,625323
88;200;4348,266823
100;200;4831,956747
98;200;4563,073611
74;200;5348,691333
92;200;4342,651139
94;200;4704,533998
96;200;4535,020096
98;200;4571,667722
90;200;3771,610268
98;200;4616,950348
96;200;4600,497145
96;200;4937,379422
90;200;4323,937494
100;200;5961,123370
100;200;4281,143451
96;200;4287,133036
90;200;4971,214497
88;200;4913,644348
100;200;4525,145264
100;200;5109,094462
100;200;4411,328332
